bleedsort3 0.226 bleedsort4 0.207 Arrays.sort 0.17 [ decr 10000 simil. 0.0 compr. 0.01 mix. 0.1 p 0.5, exp 1.0 n 1000 ]: 1.3294117647058823 1.2176470588235293
bleedsort3 0.1904 bleedsort4 0.19319999999999998 Arrays.sort 0.139 [ decr 10000 simil. 0.0 compr. 0.01 mix. 0.1 p 0.5, exp 1.0 n 1000 ]: 1.3697841726618705 1.3899280575539565
bleedsort3 0.1915 bleedsort4 0.18869999999999998 Arrays.sort 0.1581 [ decr 10000 simil. 0.1 compr. 0.01 mix. 0.1 p 0.5, exp 1.0 n 1000 ]: 1.2112586970271981 1.193548387096774
bleedsort3 0.1915 bleedsort4 0.18330000000000002 Arrays.sort 0.177 [ decr 10000 simil. 0.2 compr. 0.01 mix. 0.1 p 0.5, exp 1.0 n 1000 ]: 1.0819209039548023 1.0355932203389833
bleedsort3 0.1923 bleedsort4 0.1978 Arrays.sort 0.2078 [ decr 10000 simil. 0.3 compr. 0.01 mix. 0.1 p 0.5, exp 1.0 n 1000 ]: 0.9254090471607314 0.9518768046198267
bleedsort3 0.1985 bleedsort4 0.1985 Arrays.sort 0.219 [ decr 10000 simil. 0.4 compr. 0.01 mix. 0.1 p 0.5, exp 1.0 n 1000 ]: 0.906392694063927 0.906392694063927
bleedsort3 0.18719999999999998 bleedsort4 0.1886 Arrays.sort 0.22269999999999998 [ decr 10000 simil. 0.5 compr. 0.01 mix. 0.1 p 0.5, exp 1.0 n 1000 ]: 0.8405927256398742 0.8468792096991469
bleedsort3 0.1884 bleedsort4 0.19319999999999998 Arrays.sort 0.246 [ decr 10000 simil. 0.6 compr. 0.01 mix. 0.1 p 0.5, exp 1.0 n 1000 ]: 0.7658536585365854 0.7853658536585365
bleedsort3 0.2002 bleedsort4 0.193 Arrays.sort 0.24680000000000002 [ decr 10000 simil. 0.7 compr. 0.01 mix. 0.1 p 0.5, exp 1.0 n 1000 ]: 0.8111831442463532 0.7820097244732577
bleedsort3 0.18569999999999998 bleedsort4 0.18030000000000002 Arrays.sort 0.2512 [ decr 10000 simil. 0.8 compr. 0.01 mix. 0.1 p 0.5, exp 1.0 n 1000 ]: 0.7392515923566879 0.7177547770700639
bleedsort3 0.19069999999999998 bleedsort4 0.18930000000000002 Arrays.sort 0.2582 [ decr 10000 simil. 0.9 compr. 0.01 mix. 0.1 p 0.5, exp 1.0 n 1000 ]: 0.738574748257165 0.7331525948876841
bleedsort3 0.1923 bleedsort4 0.1994 Arrays.sort 0.253 [ decr 10000 simil. 1.0 compr. 0.01 mix. 0.1 p 0.5, exp 1.0 n 1000 ]: 0.7600790513833992 0.7881422924901186
bleedsort3 0.2038 bleedsort4 0.2039 Arrays.sort 0.285 [ decr 10000 simil. 2.0 compr. 0.01 mix. 0.1 p 0.5, exp 1.0 n 1000 ]: 0.7150877192982457 0.7154385964912281
bleedsort3 0.19269999999999998 bleedsort4 0.2044 Arrays.sort 0.2857 [ decr 10000 simil. 3.0 compr. 0.01 mix. 0.1 p 0.5, exp 1.0 n 1000 ]: 0.6744837241862093 0.7154357717885894
bleedsort3 0.18969999999999998 bleedsort4 0.1825 Arrays.sort 0.2833 [ decr 10000 simil. 4.0 compr. 0.01 mix. 0.1 p 0.5, exp 1.0 n 1000 ]: 0.6696081891987292 0.6441934345217084
bleedsort3 0.1899 bleedsort4 0.18259999999999998 Arrays.sort 0.2734 [ decr 10000 simil. 5.0 compr. 0.01 mix. 0.1 p 0.5, exp 1.0 n 1000 ]: 0.694586686174104 0.667885881492319
bleedsort3 0.18280000000000002 bleedsort4 0.19119999999999998 Arrays.sort 0.2761 [ decr 10000 simil. 6.0 compr. 0.01 mix. 0.1 p 0.5, exp 1.0 n 1000 ]: 0.6620789568996741 0.6925027164070988
bleedsort3 0.1885 bleedsort4 0.1966 Arrays.sort 0.2845 [ decr 10000 simil. 7.0 compr. 0.01 mix. 0.1 p 0.5, exp 1.0 n 1000 ]: 0.6625659050966609 0.6910369068541301
